country;beneficiary;eur
Administration of the State Border Guard Service of Ukraine;Ukraine;103862,00
Albania;Albania - Aparati i DrejtorisÃ« sÃ« PolicisÃ« sÃ« Shtetit;3707280,62
Albania;Albania - Aparati i Drejtorisë së Policisë së Shtetit;1508102,40
Albania;Aparati i Drejtorise se Pergjithshme te Policise se Shtetit;499378,78
Albania;Aparati i DrejtorisÃ« sÃ« PolicisÃ« sÃ« Shtetit;14380,80
Aparati i Drejtorise se Pergjithshme te Policise se Shtetit;Albania;124055,00
Armed Forces of Malta;Malta;2190975,00
Austria;Austria - Federal Ministry of Interior;8619274,74
Austria;Austria - Federal Ministry of the Interior;16617204,64
Austria;Austria - Federal Office for Immigration and Asylum;10715983,54
Austria;Federal Ministry of Interior;4662148,54
Austria;Federal Ministry of the Interior;24637295,86
Austria;Ministry of Interior;754384,91
Austria;Ministry of the Interior;3029662,62
Belarus;Belarus - State Border Committee;21820,51
Belarus;State Border Commitee of the Republic of Belarus;4060,65
Belarus;State Border Committee;35923,65
Belarus;State Border Committee of the Republic of Belarus;5557,65
Belgian Federal Police;Belgium;223653,00
Belgium;Belgian Defence Staff Operations and Training Departement;1504988,00
Belgium;Belgian Federal Police;1646306,10
Belgium;Belgium - Belgian Federal Police;2655038,00
Belgium;Belgium - Belgian Immigration Office;19101,32
Belgium;Belgium - Belgium Federal Police;333333,60
Belgium;Belgium - CIB - Caritas International Belgium, Non-profit association;1500005,00
Belgium;Belgium - Caritas International Belgium;128500,00
Belgium;Belgium - Department of Federal Immigration (Dienst Vreemdelingenzaken);3979976,02
Belgium;Belgium - Dienst Vreemdelingenzaken;536813,00
Belgium;Belgium - Fedasil (Federaal agentschap voor de opvang van asielzoekers);27530,00
Belgium;Belgium - Federaal agentschap voor de opvang van asielzoekers - Fedasil;1314,00
Belgium;Belgium - Federal Police;549885,00
Belgium;Belgium - Federal Police Belgium-DGA/DAO;280000,22
Belgium;Belgium - IRARA - International Returns & Reintegration Assistance;1062440,00
Belgium;Belgium- FEDERAAL AGENTSCHAP VOOR DE OPVANG;3077,28
Belgium;Belgium-Federal Police Belgium-DGA/DAO;50950,08
