year,country,Air Border Sector,Coast Guard Sector,Deployment Management Division,European Centre for Returns,Field Deployment Unit,Field Operations Unit,Frontex Situation Centre,Information Fusion Centre,Land Borders Sector,Law Enforcement Sector,Operational Response Division,Pooled Resources Unit,Public Regulated Service,Research and Development Unit,Research and Innovation Unit,Return Operations Sector,Return Support Unit,Risk Analysis Unit,Sea Border Sector,Task Force Deployment Management,Training Unit,n.a.
2008,all,2483979.69,NA,NA,NA,NA,NA,NA,NA,3050316.23,NA,NA,NA,59202.57000000001,NA,NA,2562839.86,NA,61176.58,28788196.28,NA,NA,NA
2009,all,2695934.34,NA,NA,NA,NA,NA,NA,NA,5813092.28,NA,NA,NA,267145.51,NA,NA,5309353.46,NA,24488.64,29945718.61,NA,NA,NA
2010,all,1519499.27,NA,NA,NA,NA,NA,NA,NA,6524082.5,NA,NA,3347777.68,NA,NA,NA,9378321.81,NA,NA,31955517.02,NA,NA,NA
2011,all,2147256.64,NA,NA,NA,NA,NA,NA,NA,10658708.31,NA,NA,2682319.92,NA,NA,NA,11653039.39,NA,NA,46312898.87,NA,NA,44602.58
2012,all,2037187.37,NA,NA,NA,NA,NA,251376.32,NA,11695059.81,NA,NA,NA,NA,21087.27,NA,10752367.17,NA,NA,28323972.09,NA,NA,NA
2013,all,1568466.28,NA,NA,NA,NA,NA,285108.89,NA,7110628.04,NA,NA,193651.85,NA,NA,NA,8371322.22,NA,NA,23415320.84,NA,NA,NA
2014,all,1484410.47,NA,NA,NA,NA,NA,339909.02,NA,7307421.12,NA,NA,177379.91,NA,NA,NA,8792783.03,NA,NA,32633278.67,NA,NA,NA
2015,all,1520139,NA,NA,NA,NA,NA,580336,NA,8431350,NA,NA,344098,NA,NA,NA,11935950,NA,NA,67840850,NA,NA,NA
2016,all,2196107,NA,NA,NA,NA,NA,873381,NA,14188780,NA,NA,12000,NA,NA,NA,NA,42475111,NA,112859333,NA,117321,NA
2017,all,2434204,NA,NA,NA,NA,NA,1189901,NA,15906501,NA,NA,679156,NA,532943,NA,NA,54917693,NA,118188796,NA,673992,NA
2018,all,NA,NA,NA,37613811.68,NA,NA,1927722,NA,NA,NA,120581768.92,336482,NA,NA,NA,NA,18292279.33,NA,17800.52,NA,273548.36,NA
2019,all,NA,617646,NA,57951511.62,118558259.29,NA,1626011,64919.78,NA,NA,221354,NA,NA,NA,138675,NA,NA,NA,NA,NA,453933.16000000003,8020
2020,all,NA,698241.71,NA,29584278.51,105152548.25,NA,1675477.52,146055,NA,NA,NA,NA,NA,NA,181168.8,NA,NA,NA,NA,9194344,7207328.67,NA
2021,all,NA,1676334.85,38705372.99,45591442.79,92275256.32,23993002,1966458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2260285.14,4192114.0900000003,NA
2022,all,NA,1164047.71,109708748.25999999,48756491.57,NA,70375055,NA,21896.88,NA,93456.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10379516.71,NA
2009,Albania,NA,NA,NA,NA,NA,NA,NA,NA,33896.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Albania,NA,NA,NA,NA,NA,NA,NA,NA,65460.689999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Albania,22617.42,NA,NA,NA,NA,NA,NA,NA,5658.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Albania,6177.98,NA,NA,NA,NA,NA,NA,NA,10165.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,16342.6,NA,NA,NA
2013,Albania,16930.61,NA,NA,NA,NA,NA,NA,NA,6685.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800.9,NA,NA,NA
2014,Albania,42389.12,NA,NA,NA,NA,NA,NA,NA,6441.4,NA,NA,3083.74,NA,NA,NA,NA,NA,NA,5008,NA,NA,NA
2015,Albania,14178,NA,NA,NA,NA,NA,NA,NA,29935,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA
