country,project_clean,beneficiary,grant_no,unit_sector_long,eur
Albania,Operation Flexible Operational Activities Western Balkans in Albania,Aparati i Drejtorisë së Policisë së Shtetit,2022/71,Deployment Management Division,299766.99
Albania,Operation Flexible Operational Activities Western Balkans in Albania,Aparati i Drejtorisë së Policisë së Shtetit,2021/10,Field Deployment Unit,296950.5
Albania,Operation Flexible Operational Activities Western Balkans in Albania,Aparati i Drejtorisë së Policisë së Shtetit,2021/382,Deployment Management Division,296950.5
Albania,Operation Flexible Operational Activities Western Balkans in Albania,Aparati i Drejtorisë së Policisë së Shtetit,2022/277,Deployment Management Division,296950.5
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2021,Aparati i Drejtorisë së Policisë së Shtetit,2021/145,Field Deployment Unit,296950.5
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2021,Aparati i Drejtorisë së Policisë së Shtetit,2021/247,Field Deployment Unit,296950.5
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2022,Aparati i Drejtorisë së Policisë së Shtetit,2022/183,Deployment Management Division,296950.5
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2020/286,Field Deployment Unit,242046
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2022,Aparati i Drejtorisë së Policisë së Shtetit,2022/404,Deployment Management Division,206787
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2019/333,Field Deployment Unit,201462.79
Albania,Operation Flexible Operational Activities Western Balkans in Albania 2022,Aparati i Drejtorisë së Policisë së Shtetit,2022/328,Deployment Management Division,197967
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2020/231,Field Deployment Unit,180432
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2020/192,Field Deployment Unit,170310
Albania,Technical Equipment & Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2020/157,Field Deployment Unit,145491.02
Albania,Technical Equipment & Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2020/18,Field Deployment Unit,134308.52
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2020/139,Field Deployment Unit,133201.81
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2019/180,Field Deployment Unit,132308.58
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2019/221,Field Deployment Unit,132308.58
Albania,Human Resources,Aparati i Drejtorisë së Policisë së Shtetit,2019/273,Field Deployment Unit,129835.52
Albania,FOA,Aparati i Drejtorisë së Policisë së Shtetit,2021/437,Deployment Management Division,100868.9
Albania,various projects,Aparati i Drejtorisë së Policisë së Shtetit,Multiple smaller grants,various,1664399.89
Austria,FOA,Federal Office for Immigration and Asylum,2018/268,European Centre for Returns,3355711
Austria,Technical Equipment & Human Resources,Federal Ministry of Interior,2020/28,Field Deployment Unit,3088412.2
Austria,Return Operations,Federal Office for Immigration and Asylum,2018/93,Return Support Unit,3030526
Austria,Human Resources,Federal Ministry of Interior,2019/41,Field Deployment Unit,2653756
Austria,Technical Equipment & Human Resources,Federal Ministry of Interior,2022/89,Deployment Management Division,2615753
Austria,Human Resources,Federal Ministry of Interior,2018/11,Operational Response Division,2571339
Austria,FOA,Federal Office for Immigration and Asylum,2019/15,European Centre for Returns,2464034
Austria,FOA,Federal Ministry of Interior,2019/244,European Centre for Returns,1989838
Austria,FOA,Federal Ministry of Interior,2019/152,European Centre for Returns,1941786
Austria,2017/RSU/01,Federal Office for Immigration and Asylum,2018/189,European Centre for Returns,1864248.54
Austria,Technical Equipment & Human Resources,Federal Ministry of Interior,2021/55,Field Deployment Unit,1829266
Austria,FOA,Federal Ministry of Interior,2019/324,European Centre for Returns,1107132
Austria,Human Resources,Federal Ministry of Interior,2022/233,Deployment Management Division,1088160.7
Austria,Human Resources,Federal Ministry of Interior,2021/315,Deployment Management Division,891614.38
Austria,European Centre for Returns,Federal Ministry of Interior,2020/56,European Centre for Returns,849853.74
Austria,European Centre for Returns,Federal Office for Immigration and Asylum,Multiple smaller grants,European Centre for Returns,1464
Austria,various projects,Federal Ministry of Interior,Multiple smaller grants,various,44912711.29
Belarus,Focal Points,State Border Committee,2016/843,Land Borders Sector,25017
Belarus,Focal Points,State Border Committee,2011/206/,Air Border Sector,13398.9
Belarus,Human Resources,State Border Committee,2019/270,Field Deployment Unit,13052.93
Belarus,Focal Points,State Border Committee,2016/906,Air Border Sector,11336
Belarus,Focal Points,State Border Committee,2016/1379,Land Borders Sector,9876
Belarus,Jupiter,State Border Committee,2011/220/,Land Borders Sector,9338.75
Belarus,Focal Points,State Border Committee,2015/679,Land Borders Sector,8945
Belarus,Human Resources,State Border Committee,2019/199,Field Deployment Unit,8767.58
Belarus,Focal Points,State Border Committee,2010/662/,Land Borders Sector,5557.65
Belarus,Focal Points,State Border Committee,2015/754,Air Border Sector,4241
Belarus,Human Resources,State Border Committee,2018/265,Operational Response Division,4060.65
Belgium,Triton,Belgian Defence Staff Operations and Training Departement,2015/418,Sea Border Sector,1504988
Belgium,2022/CFP/POST/01,"Caritas International Belgium, Non-profit association",2022/124,European Centre for Returns,1500005
Belgium,2017/RSU/01,Department of Federal Immigration (Dienst Vreemdelingenzaken),2018/192,European Centre for Returns,1133837
Belgium,2022/CFP/POST/01,International Returns & Reintegration Assistance,2022/129,European Centre for Returns,1062440
Belgium,FOA,Department of Federal Immigration (Dienst Vreemdelingenzaken),2018/46,Return Support Unit,890489
Belgium,Human Resources,Federal Police,2019/16,Field Deployment Unit,784038
Belgium,FOA,Department of Federal Immigration (Dienst Vreemdelingenzaken),2019/4,European Centre for Returns,621816
Belgium,Human Resources,Federal Police,2018/77,Operational Response Division,560322
Belgium,Technical Equipment & Human Resources,Federal Police,2022/37,Deployment Management Division,549885
Belgium,Human Resources,Federal Police,2022/159,Deployment Management Division,509500.8
Belgium,Technical Equipment & Human Resources,Federal Police,2021/35,Field Deployment Unit,501286
Belgium,FOA,Department of Federal Immigration (Dienst Vreemdelingenzaken),2018/290,European Centre for Returns,460511
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/1787,Return Support Unit,445956
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/1710,Return Support Unit,440740
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/1417,Return Support Unit,440194
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/1370,Return Support Unit,423528
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/824,Return Support Unit,421512
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/1744,Return Support Unit,415351
Belgium,FOA,Department of Federal Immigration (Dienst Vreemdelingenzaken),2019/323,European Centre for Returns,388083
Belgium,Technical Equipment & Human Resources,Federal Police,2020/23,Field Deployment Unit,369702
Belgium,Human Resources,Federal Police,2021/244,Deployment Management Division,333333.6
Belgium,Support Cat.2,Federal Police,2020/315,Task Force Deployment Management,331016
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/387,Return Support Unit,324036
Belgium,Human Resources,Federal Police,2022/242,Deployment Management Division,289056.79
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/238,Return Support Unit,283500
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2017/494,Return Support Unit,262920
