project,year,grants
"11, rue des Deux communes 93558 Montreuil Cedex  France",2021,613405
2nd International Cruise Ship Meeting 2022,2022,18433.71
ABS/01 JO Hammer 2011,2011,365131.72
ABS/02 HUBBLE 2011,2011,222256.95
ABS/03 Focal Points,2014,461548.95
ABS/03 Focal Points,2015,636479
ABS/03 Focal Points 2017 Air,2017,1072903
ABS/03 Focal Points Air,2016,741457
ABS/03 JO Focal Points 2012,2012,1398312.53
ABS/03 JO Focal Points 2012,2013,567
ABS/03 JO Focal Points 2013 Air,2013,1048501.22
ABS/03 JO Meteor 2011,2011,46846.340000000004
ABS/04 Focal Points,2014,139435.42
ABS/04 Focal Points Air IM,2016,234496
ABS/04 Focal Points Intermediate Managers,2015,196376
ABS/04 Focal Points Intermediate Menagers,2015,3974
ABS/04 JO Focal Points 2017 Air Intermediate Managers,2017,202892
ABS/04 MIZAR 2011,2011,254457.49
ABS/04 PP Flexi Force - Hubble module,2012,638874.84
ABS/05 Hubble 2011,2011,221944.97
ABS/05 JO Pegasus,2014,65441.2
ABS/05 JO Pegasus,2015,54387
ABS/05 JO Pegasus,2016,36702
ABS/05 JO Pegasus,2017,18522
ABS/06 Alexis,2014,615259.09
ABS/06 Alexis,2016,745448
ABS/06 JO Alexis,2017,764985
ABS/06 JO Alexis 2015,2015,428493
ABS/06 JO Flexi Force 2013 Mizar Operational Module,2013,476755.35
ABS/07 Flight Tracking Project,2014,93002.94
ABS/09 JO Meteor 2013,2013,37368.68
ABS/11 Air Border Focal Points 2011,2011,1032648.25
ABS/11 JO VEGA Children,2015,193619
ABS/11 Vega Children,2017,357656
ABS/11 Vega children 2016,2016,186632
ABS/12 Vega Children,2014,98590.45
ABS/13 Eurocup,2016,251372
Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,2022,3263994.71
Baltic Sea Region Border Control Cooperation (BSRBCC),2021,99570.85
Basic training in relation to category 1 of the standing corps,2021,4192114.09
"Bul. Sv. Petra Cetinjskog 22, Podgorica, Montenegro",2021,7470.74
CFP/POST/01,2022,4591952
CFP/TRU/01,2020,4930843
CFP/TRU/01 4 essential Schengen compatible trainings delivery in the Western Balkan based on CCC and SQF,2019,56999.22
CFP/TRU/01 Course on application of coercive measures in carrying out specific missions related to the state border control,2019,59932.84
CFP/TRU/01 Development of communication skills in English language for border guards,2019,56290
CFP/TRU/01 Enhancing student learning motivation and ownership in border and coast guard education and training as part of the European border and coast guard organisational culture,2019,59311.9
"CFP/TRU/01 Increasing the efficiency of border police measures in the Western Balkan countries with ruegnigoanraylly unified, Schengen compatible, and harmonised training courses by developing a joint curriculum on profiling and screening",2018,56999.22
CFP/TRU/01 Intelligence enhancement training tool for the Romanian Border Police,2018,59548.6
CFP/TRU/01 Maritime Situational Awareness Course for Coast Guards,2019,49320.58
CFP/TRU/01 Safe use of firearms in border and coast guarding,2019,59579.4
CFP/TRU/01 Six Eusnsgeanrtyial Trainings for Border Guards,2018,56999.22
CFP/TRU/01 Staff mobility programme for best practice exchange between Hungarian and Romanian law enforcement - border guard - training institutions,2019,56999.22
"CFP/TRU/01 Study: The use of drones for border conrol - tactics, methodological recommendations, best practice",2018,56566.32
CFP/TRU/01 Training on electronic storage of data in electronic Machine Readable Travel Documents,2018,43435
CFP/TRU/01Together on EU-southeastern external border: efficiency with high ethical standards - land border surveillance training with implication on fundamental rights. An EU and non-EU training initiative.,2019,55500
CFP/TRU/03,2020,2276485.67
CGS/01  Baltic Sea Region Border Control Cooperation 2019,2019,70500
