year,ABS,aSBS,CGS,DMD,Ecret,ECRet,ECRET,FDU,FOU,FSC,IFC,lBS,LBS,LBS/ ROS,LES,ORD,PRS,PRU,RAU,RDU,RIU,ROS,RSU,SBS,TF Deploy,TRU,<NA>
2008,2483979.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3050316.23,NA,NA,NA,59202.57000000001,NA,61176.58,NA,NA,2562839.86,NA,28788196.28,NA,NA,NA
2009,2695934.34,1049715.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5813092.28,NA,NA,NA,267145.51,NA,24488.64,NA,NA,5309353.46,NA,28896003.13,NA,NA,NA
2010,1519499.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6524082.5,NA,NA,NA,NA,3347777.68,NA,NA,NA,9378321.81,NA,31955517.02,NA,NA,NA
2011,2147256.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91220,10567488.31,44602.58,NA,NA,NA,2682319.92,NA,NA,NA,11653039.39,NA,46312898.87,NA,NA,NA
2012,2037187.37,NA,NA,NA,NA,NA,NA,NA,NA,251376.32,NA,NA,11695059.81,NA,NA,NA,NA,NA,NA,21087.27,NA,10752367.17,NA,28323972.09,NA,NA,NA
2013,1568466.28,NA,NA,NA,NA,NA,NA,NA,NA,285108.89,NA,NA,7110628.04,NA,NA,NA,NA,193651.85,NA,NA,NA,8371322.22,NA,23415320.84,NA,NA,NA
2014,1484410.47,NA,NA,NA,NA,NA,NA,NA,NA,339909.02,NA,NA,7307421.12,NA,NA,NA,NA,177379.91,NA,NA,NA,8792783.03,NA,32633278.67,NA,NA,NA
2015,1520139,NA,NA,NA,NA,NA,NA,NA,NA,580336,NA,NA,8431350,NA,NA,NA,NA,344098,NA,NA,NA,11935950,NA,67840850,NA,NA,NA
2016,2196107,NA,NA,NA,NA,NA,NA,NA,NA,873381,NA,NA,14188780,NA,NA,NA,NA,12000,NA,NA,NA,NA,42475111,112859333,NA,117321,NA
2017,2434204,NA,NA,NA,NA,NA,NA,NA,NA,1189901,NA,NA,15906501,NA,NA,NA,NA,679156,NA,532943,NA,NA,54917693,118188796,NA,673992,NA
2018,NA,NA,NA,NA,NA,37613811.68,NA,NA,NA,1927722,NA,NA,NA,NA,NA,120581768.92,NA,336482,NA,NA,NA,NA,18292279.33,17800.52,NA,273548.36,NA
2019,NA,NA,617646,NA,NA,57951511.62,NA,118558259.29,NA,1626011,64919.78,NA,NA,NA,NA,221354,NA,NA,NA,NA,138675,NA,NA,NA,NA,453933.16000000003,8020
2020,NA,NA,698241.71,NA,4879.2,29579399.31,NA,105152548.25,NA,1675477.52,146055,NA,NA,NA,NA,NA,NA,NA,NA,NA,181168.8,NA,NA,NA,9194344,7207328.67,NA
2021,NA,NA,1676334.85,38705372.99,NA,32260275.2,13331167.59,92275256.32,23993002,1966458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2260285.14,4192114.09,NA
2022,NA,NA,1164047.71,109708748.26,NA,NA,50785998.57,NA,70375055,NA,21896.88,NA,NA,NA,93456.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10379516.71,NA
