country,year,grants
Administration of the State Border Guard Service of Ukraine,2016,103862
Albania,2009,33896.21
Albania,2010,65460.689999999995
Albania,2011,28275.649999999998
Albania,2012,32686.1
Albania,2013,28416.87
Albania,2014,56922.26
Albania,2015,44310
Albania,2017,209411
Albania,2018,176643.09
Albania,2019,970013.15
Albania,2020,1116795.99
Albania,2021,1458209.19
Albania,2022,1508102.4
Aparati i Drejtorise se Pergjithshme te Policise se Shtetit,2016,124055
Armed Forces of Malta,2016,2190975
Austria,2008,1246865.99
Austria,2009,2794601.78
Austria,2010,4292918.07
Austria,2011,3577210.91
Austria,2012,3631064.88
Austria,2013,2338181.01
Austria,2014,2066547.29
Austria,2015,3473792
Austria,2017,9662310
Austria,2018,10891469.54
Austria,2019,10603766.52
Austria,2020,5339681.12
Austria,2021,4282493.03
Austria,2022,4835052.71
Belarus,2010,5557.65
Belarus,2011,22737.65
Belarus,2015,13186
Belarus,2018,4060.65
Belarus,2019,21820.510000000002
Belgian Federal Police,2016,223653
Belgium,2008,117532.17
Belgium,2009,185440.48
Belgium,2010,237412.77
Belgium,2011,291120.07
Belgium,2012,171047.91
Belgium,2013,197215.01
Belgium,2014,216527.07
Belgium,2015,1823440
Belgium,2017,4245002
Belgium,2018,3135903.02
Belgium,2019,1949205
Belgium,2020,985795.28
Belgium,2021,1458932.82
Belgium,2022,4442044.99
Border Police Department,2016,67319
Border Police of Bosnia and Herzegovina,2016,16457
Border and Alien Police Directorate,2016,22663
Bosna and Herzegovina,2021,13655.34
Bosna and Herzegovina,2022,6319.42
Bosnia and Herzegovina,2012,4300
Bosnia and Herzegovina,2013,13756.99
Bosnia and Herzegovina,2014,25099.11
Bosnia and Herzegovina,2015,9320
Bosnia and Herzegovina,2017,10010
Bosnia and Herzegovina,2018,8750.46
Bosnia and Herzegovina,2019,29125.4
Bosnia&Herzeg ovina,2011,4120.28
Bulgaria,2008,91053.85
Bulgaria,2009,172526.7
Bulgaria,2010,351421.19
Bulgaria,2011,444762.28
Bulgaria,2012,510465.06
Bulgaria,2013,449928.26
Bulgaria,2014,593690.89
Bulgaria,2015,609665
Bulgaria,2017,3785208
Bulgaria,2018,2207436.11
Bulgaria,2019,1793434
Bulgaria,2020,2097048
Bulgaria,2021,3118005.46
Bulgaria,2022,3154256.47
