year,Administration of the State Border Guard Service of Ukraine,Albania,Aparati i Drejtorise se Pergjithshme te Policise se Shtetit,Armed Forces of Malta,Austria,Belarus,Belgian Federal Police,Belgium,Border and Alien Police Directorate,Border Police Department,Border Police of Bosnia and Herzegovina,Bosna and Herzegovina,Bosnia and Herzegovina,Bosnia&Herzeg ovina,Bulgaria,Bundespolizeiprasidium Federal Police Central Office,Bureau of Border and Alien Police,Cabo Verde,Cape Verde,Croatia,Cuerpo Nacional de Policia,Cyprus,"Cyprus Police, Police Headquarters",Czech  Republic,Czech republic,Czech Republic,Danish Emergency Management Agency,Danish National Police,Denmark,Dienst Vreemdelingenzaken,Direccao de Estrangeiros e Fronteiras,Direction Centrale de la Police aux Frontieres,Direction Centrale de la Police Judiciaire,Direction Centrale de la Securite Publique,Direction Centrale des compagnies republicaines de securite,Direction Generale de la Gendarmerie nationale,Direction Generale des Douanes et Droits Indirects,"Directorate Border and Alien Police, Presov","Direzione Centrale dell'Immigrazione e della Polizia delle Frontiere Ministero dell'Interno, Dipartimento della Pubblica Sicurezza, Direzione Centrale dell'Immigrazione e della Polizia delle Frontiere",Dutch Royal Marechaussee,Egypt,Estonia,Federal Ministry of the Interior,Finland,Finnish Border Guard,Finnish National Police Board,Former Yugoslav Republic of Macedonia,Former Yugoslav Republic Of Macedonia,France,FYR Macedonia,FYR of Macedonia,FYROM,General Inspectorate for Immigration,General Inspectorate of Aviation,General Inspectorate of the Romanian Border Police,General Inspectorate of the Romanian Police,Georgia,Germany,Greece,Guardia Civil,Headquarters of Polish Border Guards,"Hellenic Ministry of Maritime Affairs and Insular Policy, Hellenic Coast Guard",Hellenic Police,Helsinki Police Department,Hungarian Police Headquarters,Hungary,Iceland,Icelandic Coast Guard,Immigration and Naturalisation Service,Iraq,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembour,Luxembourg,Luxemburg,Macedonia,Malta,"Malta Police Force, Police General Headquarters",Marine Nationale - French Navy,MIA Patrol Police Department of Georgia,"Ministere de l'Interieur, Direction de la Securite Interieur, Police Grand-Ducale","Ministere de l'interieur, Direction generale des etrangers","Ministero dell'Interno, Dipartimento della Pubblica Sicurezza,","Ministero dell'Interno, Dipartimento della Pubblica Sicurezza, Direzione Centrale dell'Immigrazione e della Polizia delle Frontiere",Ministry of Foreign Affairs,Ministry of Interior,Ministry of Interior - Police,Ministry of Interior of Republic of Serbia,Ministry of Interior of the Slovak Republic,"Ministry of Interior, National Police Service, Chief Directorate Border Police","Ministry of Interior, Turkish National Police, International Relations Department",Ministry of Internal Affairs,"Ministry of the Interior, Directorate for Financial-Material Affairs",Moldova,Montenegro,National Operations Department,National Police Directorate,National Police Immigration Service,Netherlands,Nigeria,Nigerian Immigration Service,North Macedonia,Norway,Office of Immigration and Nationality,Office of the National Commissioner of the Icelandic Police,Pakistan,Patrol Police Department,Poland,Police and Border Guard Board,Police of the Czech Republic,Portugal,Portuguese Navy,Prefecture de Police,Repatriation and Departure Service,Republic of N.Macedonia,Romania,Serbia,Servico de Estrangeiros e Fronteiras,Slovak republic,Slovak Republic,Slovakia,Slovenia,Spain,State Border Committee,State Border Guard,State Border Guard Service,Sudurnes Police District,Sweden,Swiss Border Guard,Switzerland,The Netherlands,Turkey,Turkish National Police,UK,Ukraine,United Kingdom
2008,NA,NA,NA,NA,1246865.99,NA,NA,117532.17,NA,NA,NA,NA,NA,NA,91053.85,NA,NA,NA,NA,166680,NA,32823.18,NA,NA,2744,65835.06,NA,NA,59717.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81086.89,NA,690369.14,NA,NA,NA,NA,2549593.29,NA,NA,NA,NA,NA,NA,NA,NA,2934705.73,3703923.33,NA,NA,NA,NA,NA,NA,284070.27,4581.97,NA,NA,NA,80573.8,8920927.21,NA,97788.14,344908.22000000003,NA,1752451.8699999999,NA,NA,1257173.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15232.8,NA,NA,NA,NA,NA,NA,NA,NA,25284.11,NA,NA,NA,NA,266495.14,NA,NA,1082612.56,NA,NA,NA,NA,1011933.89,NA,NA,NA,NA,128405.42,88033.97,8325306.07,NA,NA,NA,NA,250948.69,NA,110000.54000000001,736688.23,83525.5,NA,347616.34,48223.21,NA
2009,NA,33896.21,NA,NA,2794601.78,NA,NA,185440.48,NA,NA,NA,NA,NA,NA,172526.7,NA,NA,NA,NA,37104.8,NA,37118.34,NA,NA,NA,112507.34,NA,NA,176812.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427190.12,NA,654699.29,NA,NA,NA,NA,2243881.33,NA,NA,NA,NA,NA,NA,NA,NA,3658109.34,6245838.79,NA,NA,NA,NA,NA,NA,584090.6,50811.14,NA,NA,NA,409338.92,4804261.29,NA,669823.88,960183.75,NA,3508414.39,NA,NA,1209147.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12772.8,NA,NA,NA,NA,760870.29,NA,NA,NA,253897.05000000002,NA,NA,NA,NA,1403079.97,NA,NA,1130456.08,NA,NA,NA,NA,597880.12,34023.2,NA,NA,NA,649889.4,150839.01,8432733.87,NA,NA,NA,NA,1415849.16,NA,NA,NA,NA,NA,NA,41563.92,196079.63
2010,NA,65460.689999999995,NA,NA,4292918.07,5557.65,NA,237412.77,NA,NA,NA,NA,NA,NA,351421.19,NA,NA,NA,NA,50138.46,NA,46480.909999999996,NA,NA,NA,130436.89,NA,NA,356878.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465083.95,NA,1179353.24,NA,NA,NA,NA,1966309.72,NA,NA,NA,NA,NA,NA,NA,NA,3335825.29,3765194.54,NA,NA,NA,NA,NA,NA,609394.23,4401473.6899999995,NA,NA,NA,470031.37,5911636.55,NA,2778952.9899999998,872657.57,NA,2825222.92,NA,NA,532473.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16868,NA,NA,NA,NA,2155872.68,NA,NA,NA,617772.44,NA,NA,NA,NA,1563228.9,NA,NA,858252.02,NA,NA,NA,NA,1611465.46,72538.56999999999,NA,NA,NA,579725.46,259782.39,7171861.81,NA,NA,NA,NA,1906240.9100000001,NA,NA,NA,NA,NA,NA,90560.31,1170714.32
2011,NA,28275.649999999998,NA,NA,3577210.91,22737.65,NA,291120.07,NA,NA,NA,NA,NA,4120.28,444762.28,NA,NA,NA,NA,18129.34,NA,23101.8,NA,NA,NA,94274.81999999999,NA,NA,391745.70999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738187.95,NA,2099052.43,NA,NA,NA,NA,1762377.22,NA,NA,2436.16,NA,NA,NA,NA,NA,2785258.69,4627419.91,NA,NA,NA,NA,NA,NA,422841,5161277.79,NA,NA,NA,188755.13999999998,16396740.28,NA,2293764.29,1178198.19,NA,2482480.96,NA,14086.74,334105.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26193.14,NA,NA,NA,NA,4828666.75,NA,NA,NA,1119220.23,NA,NA,NA,NA,1821012.85,NA,NA,4642636.97,NA,NA,NA,NA,3766786.86,134585.96,NA,NA,NA,382619.49,240899.16,8985054.42,NA,NA,NA,NA,1223754.91,NA,331742.74,NA,5710.24,NA,NA,42196.479999999996,565284.92
2012,NA,32686.1,NA,NA,3631064.88,NA,NA,171047.91,NA,NA,NA,NA,4300,NA,510465.06,NA,NA,NA,NA,38292.44,NA,8315.29,NA,NA,NA,66379.93,NA,NA,174693.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794202.54,NA,848556.9,NA,NA,NA,NA,739454.87,NA,NA,10736.93,NA,NA,NA,NA,NA,2926264.61,4367923.84,NA,NA,NA,NA,NA,NA,211064.01,4317361.14,NA,NA,NA,188867.78,5849723.34,NA,2873497.24,1242244.34,NA,2427703.74,NA,NA,329058.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16363.98,9604.2,NA,NA,NA,4159645.74,NA,NA,NA,852484.2899999999,NA,NA,NA,NA,1390204.26,NA,NA,2940458.02,NA,NA,NA,NA,3417452.71,8208.369999999999,NA,NA,NA,294633.13,292282.83,6257261.68,NA,NA,NA,NA,1148093.87,NA,288942.87,NA,NA,NA,NA,99833.83,141675.45
2013,NA,28416.87,NA,NA,2338181.01,NA,NA,197215.01,NA,NA,NA,NA,13756.99,NA,449928.26,NA,NA,NA,NA,69466.26,NA,NA,NA,NA,NA,88322.08,NA,NA,171811.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422410,NA,1278242.91,NA,NA,NA,NA,866961.8099999999,15002.47,NA,NA,NA,NA,NA,NA,NA,2150174.78,2994056.38,NA,NA,NA,NA,NA,NA,291921.73,3641938.7600000002,NA,NA,NA,226177.9,5379240.01,NA,1125683.59,119935.71,NA,1497051.78,NA,NA,703481.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23496.18,NA,NA,NA,NA,2203445.21,NA,NA,NA,386437.81,NA,NA,NA,NA,660345.45,NA,NA,3349005.12,NA,NA,NA,NA,1828859.74,18199.68,NA,NA,NA,227119.55,223811.47,6324915.08,NA,NA,NA,NA,806784.0499999999,NA,265032.88,NA,12198,NA,NA,29583.18,515887.42
2014,NA,56922.26,NA,NA,2066547.29,NA,NA,216527.07,NA,NA,NA,NA,25099.11,NA,593690.89,NA,NA,1914.88,NA,104374.74,NA,NA,NA,NA,NA,175480.76,NA,NA,340839.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915553.58,NA,2735606.56,NA,NA,22469.51,NA,1630666.4,NA,NA,NA,NA,NA,NA,NA,11209.67,1563368.13,2953561.5500000003,NA,NA,NA,NA,NA,NA,240103.44,4305755.71,NA,NA,NA,13188.82,8433074.13,NA,1644989.29,270951.42,NA,20517.95,NA,NA,955685.2999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32505.87,NA,NA,NA,NA,2491384.84,NA,NA,NA,790982.43,NA,NA,NA,NA,790813.8200000001,NA,NA,3922914.31,NA,NA,NA,NA,2522735.69,11089.48,NA,NA,NA,208932.49,279696.3,7888263.8,NA,NA,NA,NA,1765270.16,NA,401024.58,NA,12928.3,NA,NA,16399.89,302142.65
2015,NA,44310,NA,NA,3473792,13186,NA,1823440,NA,NA,NA,NA,9320,NA,609665,NA,NA,NA,2604,2417969,NA,231304,NA,NA,NA,338135,NA,NA,1890952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569258,NA,1482881,NA,NA,NA,34428,2888024,NA,NA,NA,NA,NA,NA,NA,15913,4798122,7714759,NA,NA,NA,NA,NA,NA,354742,4419452,NA,NA,NA,186701,17494703,NA,3172722,1032671,NA,73919,NA,NA,1860314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17829,667,NA,NA,NA,3676046,5425,NA,NA,7661327,NA,NA,NA,NA,1199117,NA,NA,5077940,NA,NA,NA,NA,2446476,151062,NA,NA,NA,388481,319802,6881003,NA,NA,NA,NA,4884972,NA,541095,NA,26896,NA,NA,32309,388990
2016,103862,NA,124055,2190975,NA,NA,223653,NA,22663,67319,16457,NA,NA,NA,NA,25183362,1099710,NA,NA,NA,4278205,NA,37574,NA,NA,NA,12000,4108501,NA,717654,2622,1836754,422018,433122,828780,1561936,503464,37518,476849,8783532,NA,NA,7219651,NA,3789153,40253,NA,NA,NA,NA,NA,NA,121405,816851,5353418,155024,NA,NA,NA,6773072,4655933,5044376,8382337,1628034,598150,NA,NA,659270,3519898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24068,1106291,3050,314739,1209604,217322,20719798,51734,5064,676921,91309,622,2694127,57776,47588,879069,NA,NA,5598355,10096198,1151804,NA,NA,15349,NA,NA,173270,917697,NA,34986,NA,1622516,1667094,NA,125588,892314,587949,NA,NA,NA,10198108,NA,NA,NA,NA,NA,46229,5737043,1990657,8653,NA,1912794,NA,NA,NA,16937,NA,NA,NA
2017,NA,209411,NA,NA,9662310,NA,NA,4245002,NA,NA,NA,NA,10010,NA,3785208,NA,NA,NA,NA,1347243,NA,104300,NA,NA,NA,2062038,NA,NA,4659523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1166689,NA,6412872,NA,NA,31427,26629,10253122,NA,NA,NA,NA,NA,NA,NA,88701,27401274,17337866,NA,NA,NA,NA,NA,NA,1197720,5136774,NA,NA,NA,NA,18634797,29015,8250939,2009698,NA,3395772,NA,NA,1973296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77879,7426,NA,NA,NA,11427576,NA,NA,NA,9119602,NA,NA,NA,NA,3220851,NA,NA,10170318,NA,NA,NA,NA,6675738,100074,NA,NA,NA,628028,389349,12258185,NA,NA,NA,NA,9017085,NA,1806933,NA,NA,NA,NA,192506,NA
